SSE run info
"","          Date","   samples run","simulation model","   PsN version","NONMEM version","Sim. with uncertainty",
"",     2014-10-2,             2,       sim.mod,        v4.2.0,       default,            no,
Reference/True values
"","           ofv","        THETA1","        THETA2","    OMEGA(1,1)","    OMEGA(2,2)","    SIGMA(1,1)","    SIGMA(2,2)",
"",Sim. model result,             1,            20,          0.05,          0.05,         0.015,        0.0015,

Simulation model
Samples completed: 2
"","           ofv","          TH_1","          TH_2","          OM_1","          OM_2","          SI_1","          SI_2",
"          mean",      1666.474,             1,            20,          0.05,          0.05,         0.015,        0.0015,
"        median",      1666.474,             1,            20,          0.05,          0.05,         0.015,        0.0015,
"            sd",      60.86958,             0,             0,             0,             0,             0,             0,
"           max",      1709.515,             1,            20,          0.05,          0.05,         0.015,        0.0015,
"           min",      1623.432,             1,            20,          0.05,          0.05,         0.015,        0.0015,
"      skewness",              NA,              NA,              NA,              NA,              NA,              NA,              NA,
"      kurtosis",              NA,              NA,              NA,              NA,              NA,              NA,              NA,
"          rmse",              ,             0,             0,             0,             0,             0,             0,
" relative_rmse",              ,             0,             0,             0,             0,             0,             0,
"          bias",              ,             0,             0,             0,             0,             0,             0,
" relative_bias",              ,             0,             0,             0,             0,             0,             0,
"relative_absolute_bias",              ,             0,             0,             0,             0,             0,             0,
"           rse",              ,             0,             0,             0,             0,             0,             0,
"standard error CI",
"          0.5%",              ,             0,             0,             0,             0,             0,             0,
"          2.5%",              ,             0,             0,             0,             0,             0,             0,
"            5%",              ,             0,             0,             0,             0,             0,             0,
"           95%",              ,             0,             0,             0,             0,             0,             0,
"         97.5%",              ,             0,             0,             0,             0,             0,             0,
"         99.5%",              ,             0,             0,             0,             0,             0,             0,

Alternative model 1
Samples completed: 2
"","           ofv","          TH_1","          TH_2","          OM_1","          OM_2","          SI_1","          SI_2",
"          mean",      1616.337,     0.9529105,      20.62355,     0.0327074,     0.0574106,     0.0136086,      2.789125,
"        median",      1616.337,     0.9529105,      20.62355,     0.0327074,     0.0574106,     0.0136086,      2.789125,
"            sd",      31.82238,    0.02933715,    0.02736503,    0.01128161,    0.01529613,   0.001470499,       1.30889,
"           max",      1638.839,      0.973655,       20.6429,     0.0406847,     0.0682266,     0.0146484,       3.71465,
"           min",      1593.835,      0.932166,       20.6042,     0.0247301,     0.0465946,     0.0125688,        1.8636,
"      skewness",              NA,              NA,              NA,              NA,              NA,              NA,              NA,
"      kurtosis",              NA,              NA,              NA,              NA,              NA,              NA,              NA,
"          rmse",              ,    0.05145634,     0.6238502,    0.01904393,    0.01311117,   0.001737003,      2.937252,
" relative_rmse",              ,      5.145634,      3.119251,      38.08786,      26.22235,      11.58002,      195816.8,
"          bias",              ,    -0.0470895,       0.62355,    -0.0172926,     0.0074106,    -0.0013914,      2.787625,
" relative_bias",              ,      -4.70895,       3.11775,      -34.5852,       14.8212,        -9.276,      185841.7,
"relative_absolute_bias",              ,      -4.70895,       3.11775,      -34.5852,       14.8212,        -9.276,      185841.7,
"           rse",              ,       2.07445,       0.09675,       15.9546,        21.632,         6.932,      61701.67,
"standard error CI",
"          0.5%",              ,    -10.061031,      2.868135,    -75.748068,     -40.98936,     -27.16056,      26651.37,
"          2.5%",              ,-8.77487199999999,       2.92812,    -65.856216,     -27.57752,     -22.86272,       64906.4,
"            5%",              ,-8.12142024999999,      2.958596,    -60.830517,     -20.76344,     -20.67914,      84342.43,
"           95%",              ,   -1.29647975,      3.276904,     -8.339883,      50.40584,       2.12714,      287340.9,
"         97.5%",              ,-0.643027999999996,       3.30738,     -3.314184,      57.21992,       4.31072,      306776.9,
"         99.5%",              ,      0.643131,      3.367365,      6.577668,      70.63176,       8.60856,        345032,

ofv Statistics
Type I error rate
,,Percent delta_ofv > N
"","mean delta_ofv","             0","       3.84000","       5.99000","       7.81000","       9.49000",
"simulation - alternative1",      50.13644,          100%,          100%,          100%,          100%,          100%,

1 - type II error rate (power)
,,Percent delta_ofv < N
"","mean delta_ofv","             0","       3.84000","       5.99000","       7.81000","       9.49000",
"simulation - alternative1",      50.13644,            0%,            0%,            0%,            0%,            0%,
